,Unnamed: 0,Symbol  ,Date  ,Expiry  ,Strike Price  ,Call Price,Underlying Value  ,Put Price
202,202,NIFTY,22-Dec-2023,04-Jan-2024,21850.0,63.75,21349.40,447.25
203,203,NIFTY,22-Dec-2023,04-Jan-2024,20750.0,765.35,21349.40,38.8
204,204,NIFTY,22-Dec-2023,04-Jan-2024,19150.0,2217.0,21349.40,46.1
205,205,NIFTY,22-Dec-2023,04-Jan-2024,18600.0,1390.35,21349.40,17.0
206,206,NIFTY,22-Dec-2023,04-Jan-2024,22350.0,9.6,21349.40,2367.05
207,207,NIFTY,22-Dec-2023,04-Jan-2024,21400.0,246.45,21349.40,174.25
208,208,NIFTY,22-Dec-2023,04-Jan-2024,19300.0,1497.85,21349.40,7.3
209,209,NIFTY,22-Dec-2023,04-Jan-2024,21250.0,343.4,21349.40,123.3
210,210,NIFTY,22-Dec-2023,04-Jan-2024,20300.0,1227.05,21349.40,14.8
211,211,NIFTY,22-Dec-2023,04-Jan-2024,19050.0,1000.85,21349.40,28.3
212,212,NIFTY,22-Dec-2023,04-Jan-2024,22300.0,11.5,21349.40,2318.1
213,213,NIFTY,22-Dec-2023,04-Jan-2024,18300.0,1669.65,21349.40,2.4
214,214,NIFTY,22-Dec-2023,04-Jan-2024,21350.0,278.3,21349.40,155.05
215,215,NIFTY,22-Dec-2023,04-Jan-2024,18450.0,1528.55,21349.40,14.2
216,216,NIFTY,22-Dec-2023,04-Jan-2024,22700.0,3.25,21349.40,2711.45
217,217,NIFTY,22-Dec-2023,11-Jan-2024,22050.0,69.1,21349.40,1076.5
218,218,NIFTY,22-Dec-2023,11-Jan-2024,22350.0,34.0,21349.40,1338.85
219,219,NIFTY,22-Dec-2023,11-Jan-2024,19550.0,1507.85,21349.40,20.2
220,220,NIFTY,22-Dec-2023,11-Jan-2024,19800.0,1278.3,21349.40,12.25
221,221,NIFTY,22-Dec-2023,11-Jan-2024,22150.0,53.45,21349.40,1162.0
222,222,NIFTY,22-Dec-2023,11-Jan-2024,21950.0,92.0,21349.40,993.3
223,223,NIFTY,22-Dec-2023,11-Jan-2024,22250.0,44.05,21349.40,1249.5
224,224,NIFTY,22-Dec-2023,11-Jan-2024,20150.0,977.4,21349.40,21.7
225,225,NIFTY,22-Dec-2023,11-Jan-2024,21200.0,458.25,21349.40,146.6
226,226,NIFTY,22-Dec-2023,11-Jan-2024,21450.0,291.55,21349.40,234.6
227,227,NIFTY,22-Dec-2023,11-Jan-2024,20650.0,975.9,21349.40,52.3
228,228,NIFTY,22-Dec-2023,11-Jan-2024,21550.0,239.45,21349.40,278.85
229,229,NIFTY,22-Dec-2023,11-Jan-2024,20550.0,675.6,21349.40,43.25
230,230,NIFTY,22-Dec-2023,11-Jan-2024,19950.0,1145.9,21349.40,20.0
231,231,NIFTY,22-Dec-2023,11-Jan-2024,20350.0,820.0,21349.40,29.65
232,232,NIFTY,22-Dec-2023,11-Jan-2024,21800.0,137.45,21349.40,424.65
233,233,NIFTY,22-Dec-2023,11-Jan-2024,19650.0,1414.9,21349.40,21.65
234,234,NIFTY,22-Dec-2023,11-Jan-2024,22500.0,23.55,21349.40,1475.8
235,235,NIFTY,22-Dec-2023,11-Jan-2024,20100.0,1324.05,21349.40,19.05
236,236,NIFTY,22-Dec-2023,11-Jan-2024,20250.0,897.2,21349.40,25.1
237,237,NIFTY,22-Dec-2023,11-Jan-2024,22700.0,14.3,21349.40,1662.8
238,238,NIFTY,22-Dec-2023,11-Jan-2024,21900.0,106.9,21349.40,538.65
239,239,NIFTY,22-Dec-2023,11-Jan-2024,21650.0,196.3,21349.40,327.35
240,240,NIFTY,22-Dec-2023,11-Jan-2024,22900.0,9.5,21349.40,1241.2
241,241,NIFTY,22-Dec-2023,11-Jan-2024,21500.0,268.25,21349.40,252.45
242,242,NIFTY,22-Dec-2023,11-Jan-2024,22400.0,30.5,21349.40,1384.15
243,243,NIFTY,22-Dec-2023,11-Jan-2024,21750.0,152.1,21349.40,382.85
244,244,NIFTY,22-Dec-2023,11-Jan-2024,19700.0,1368.95,21349.40,11.0
245,245,NIFTY,22-Dec-2023,11-Jan-2024,20700.0,906.6,21349.40,55.95
246,246,NIFTY,22-Dec-2023,11-Jan-2024,20400.0,1150.0,21349.40,33.3
247,247,NIFTY,22-Dec-2023,11-Jan-2024,19400.0,1649.6,21349.40,14.25
248,248,NIFTY,22-Dec-2023,11-Jan-2024,22200.0,48.7,21349.40,1205.5
249,249,NIFTY,22-Dec-2023,11-Jan-2024,19750.0,1323.4,21349.40,10.45
250,250,NIFTY,22-Dec-2023,11-Jan-2024,22600.0,18.0,21349.40,1568.75
251,251,NIFTY,22-Dec-2023,11-Jan-2024,19450.0,2040.0,21349.40,16.35
252,252,NIFTY,22-Dec-2023,11-Jan-2024,20450.0,1010.0,21349.40,35.9
253,253,NIFTY,22-Dec-2023,11-Jan-2024,20750.0,546.1,21349.40,61.9
254,254,NIFTY,22-Dec-2023,11-Jan-2024,21000.0,610.15,21349.40,100.3
255,255,NIFTY,22-Dec-2023,11-Jan-2024,21250.0,425.5,21349.40,160.7
256,256,NIFTY,22-Dec-2023,11-Jan-2024,22650.0,16.05,21349.40,1615.6
257,257,NIFTY,22-Dec-2023,11-Jan-2024,22800.0,11.7,21349.40,1757.8
258,258,NIFTY,22-Dec-2023,11-Jan-2024,19900.0,1189.5,21349.40,13.6
259,259,NIFTY,22-Dec-2023,11-Jan-2024,21150.0,504.65,21349.40,132.6
260,260,NIFTY,22-Dec-2023,11-Jan-2024,20500.0,984.05,21349.40,39.35
261,261,NIFTY,22-Dec-2023,11-Jan-2024,22300.0,38.75,21349.40,1293.95
262,262,NIFTY,22-Dec-2023,11-Jan-2024,22750.0,16.25,21349.40,1710.15
263,263,NIFTY,22-Dec-2023,11-Jan-2024,22450.0,22.55,21349.40,1429.8
264,264,NIFTY,22-Dec-2023,11-Jan-2024,20000.0,1102.85,21349.40,15.85
265,265,NIFTY,22-Dec-2023,11-Jan-2024,19850.0,1233.65,21349.40,24.6
266,266,NIFTY,22-Dec-2023,11-Jan-2024,20600.0,641.8,21349.40,47.05
267,267,NIFTY,22-Dec-2023,11-Jan-2024,19600.0,1905.0,21349.40,13.5
268,268,NIFTY,22-Dec-2023,11-Jan-2024,20850.0,736.5,21349.40,74.45
269,269,NIFTY,22-Dec-2023,11-Jan-2024,20900.0,695.0,21349.40,82.45
270,270,NIFTY,22-Dec-2023,11-Jan-2024,22850.0,10.85,21349.40,1805.6
271,271,NIFTY,22-Dec-2023,11-Jan-2024,21700.0,173.25,21349.40,361.45
272,272,NIFTY,22-Dec-2023,11-Jan-2024,21600.0,217.6,21349.40,304.95
273,273,NIFTY,22-Dec-2023,11-Jan-2024,21100.0,532.6,21349.40,121.1
274,274,NIFTY,22-Dec-2023,11-Jan-2024,21400.0,326.6,21349.40,213.65
275,275,NIFTY,22-Dec-2023,11-Jan-2024,22100.0,62.55,21349.40,1118.95
276,276,NIFTY,22-Dec-2023,11-Jan-2024,22550.0,20.6,21349.40,1522.1
277,277,NIFTY,22-Dec-2023,11-Jan-2024,20200.0,936.9,21349.40,23.05
278,278,NIFTY,22-Dec-2023,11-Jan-2024,21050.0,560.35,21349.40,110.65
279,279,NIFTY,22-Dec-2023,11-Jan-2024,21850.0,117.95,21349.40,912.6
280,280,NIFTY,22-Dec-2023,11-Jan-2024,20050.0,1060.4,21349.40,17.55
281,281,NIFTY,22-Dec-2023,11-Jan-2024,21300.0,386.65,21349.40,177.85
282,282,NIFTY,22-Dec-2023,11-Jan-2024,22000.0,81.5,21349.40,560.7
283,283,NIFTY,22-Dec-2023,11-Jan-2024,22950.0,9.3,21349.40,1901.75
284,284,NIFTY,22-Dec-2023,11-Jan-2024,20300.0,858.2,21349.40,27.05
285,285,NIFTY,22-Dec-2023,11-Jan-2024,20950.0,725.65,21349.40,90.45
286,286,NIFTY,22-Dec-2023,11-Jan-2024,21350.0,358.15,21349.40,195.15
287,287,NIFTY,22-Dec-2023,11-Jan-2024,19500.0,1554.8,21349.40,8.35
288,288,NIFTY,22-Dec-2023,11-Jan-2024,20800.0,740.0,21349.40,67.65
289,289,NIFTY,22-Dec-2023,18-Jan-2024,21200.0,518.1,21349.40,172.6
290,290,NIFTY,22-Dec-2023,18-Jan-2024,20950.0,599.45,21349.40,113.6
291,291,NIFTY,22-Dec-2023,18-Jan-2024,22050.0,67.0,21349.40,847.65
292,292,NIFTY,22-Dec-2023,18-Jan-2024,20350.0,1047.45,21349.40,22.55
293,293,NIFTY,22-Dec-2023,18-Jan-2024,22500.0,41.3,21349.40,1220.0
294,294,NIFTY,22-Dec-2023,18-Jan-2024,19700.0,1634.5,21349.40,15.15
295,295,NIFTY,22-Dec-2023,18-Jan-2024,22200.0,75.65,21349.40,966.2
