,Symbol  ,Date  ,Expiry  ,Strike Price  ,Call Price,Underlying Value  ,Put Price
190,WIPRO,22-Dec-2023,29-Feb-2024,415.0,23.8,462.65,18.3
191,WIPRO,22-Dec-2023,29-Feb-2024,410.0,26.4,462.65,16.0
192,WIPRO,22-Dec-2023,29-Feb-2024,395.0,35.4,462.65,10.25
193,WIPRO,22-Dec-2023,29-Feb-2024,515.0,1.45,462.65,94.15
194,WIPRO,22-Dec-2023,29-Feb-2024,427.5,18.0,462.65,24.8
195,WIPRO,22-Dec-2023,29-Feb-2024,357.5,64.35,462.65,2.4
196,WIPRO,22-Dec-2023,29-Feb-2024,490.0,3.25,462.65,71.45
197,WIPRO,22-Dec-2023,29-Feb-2024,412.5,25.1,462.65,17.15
198,WIPRO,22-Dec-2023,29-Feb-2024,475.0,5.15,462.65,58.6
199,WIPRO,22-Dec-2023,29-Feb-2024,472.5,5.55,462.65,56.5
200,WIPRO,22-Dec-2023,29-Feb-2024,470.0,27.0,462.65,54.5
201,WIPRO,22-Dec-2023,29-Feb-2024,387.5,40.5,462.65,8.0
202,WIPRO,22-Dec-2023,29-Feb-2024,502.5,2.2,462.65,82.65
203,WIPRO,22-Dec-2023,29-Feb-2024,420.0,21.35,462.65,20.75
204,WIPRO,22-Dec-2023,29-Feb-2024,432.5,16.0,462.65,27.7
205,WIPRO,22-Dec-2023,29-Feb-2024,462.5,7.35,462.65,48.55
206,WIPRO,22-Dec-2023,29-Feb-2024,510.0,1.7,462.65,89.5
207,WIPRO,22-Dec-2023,29-Feb-2024,355.0,66.5,462.65,2.1
208,WIPRO,22-Dec-2023,29-Feb-2024,437.5,14.2,462.65,30.8
209,WIPRO,22-Dec-2023,29-Feb-2024,500.0,2.35,462.65,80.35
210,WIPRO,22-Dec-2023,29-Feb-2024,442.5,12.55,462.65,34.05
211,WIPRO,22-Dec-2023,29-Feb-2024,452.5,9.65,462.65,41.0
212,WIPRO,22-Dec-2023,29-Feb-2024,455.0,9.05,462.65,42.85
213,WIPRO,22-Dec-2023,29-Feb-2024,477.5,4.8,462.65,60.65
214,WIPRO,22-Dec-2023,29-Feb-2024,425.0,19.1,462.65,23.4
215,WIPRO,22-Dec-2023,29-Feb-2024,465.0,6.85,462.65,50.5
216,WIPRO,22-Dec-2023,29-Feb-2024,457.5,8.45,462.65,44.75
217,WIPRO,22-Dec-2023,29-Feb-2024,445.0,11.75,462.65,35.75
218,WIPRO,22-Dec-2023,29-Feb-2024,422.5,20.2,462.65,22.05
219,WIPRO,22-Dec-2023,29-Feb-2024,440.0,13.35,462.65,32.4
220,WIPRO,22-Dec-2023,29-Feb-2024,385.0,42.3,462.65,7.35
221,WIPRO,22-Dec-2023,29-Feb-2024,405.0,29.25,462.65,13.9
222,WIPRO,22-Dec-2023,29-Feb-2024,380.0,46.0,462.65,1.8
223,WIPRO,26-Dec-2023,28-Dec-2023,515.0,0.3,470.1,101.65
224,WIPRO,26-Dec-2023,28-Dec-2023,477.5,3.4,470.1,10.7
225,WIPRO,26-Dec-2023,28-Dec-2023,447.5,22.95,470.1,0.9
226,WIPRO,26-Dec-2023,28-Dec-2023,432.5,39.0,470.1,0.45
227,WIPRO,26-Dec-2023,28-Dec-2023,485.0,1.7,470.1,16.8
228,WIPRO,26-Dec-2023,28-Dec-2023,392.5,18.3,470.1,0.15
229,WIPRO,26-Dec-2023,28-Dec-2023,507.5,0.35,470.1,94.6
