RELIANCE.BO,HDFCBANK.BO,INFY.BO,ICICIBANK.BO,TCS.BO,KOTAKBANK.BO,HINDUNILVR.BO,BHARTIARTL.BO,LT.BO,SBIN.BO,ASHOKLEY.BO,BIOCON.BO,GLENMARK.BO,JSWSTEEL.BO,MRF.BO,PIDILITIND.BO,TORNTPHARMA.BO,UBL.BO,ZEEL.BO,PETRONET.BO,BSESN
1358.246948,1142.006714,707.949585,388.504059,1913.509033,1340.938477,1657.902832,325.25296,1354.751587,297.518951,85.69693,305.282288,642.499451,280.120026,56137.83984,1216.461426,921.563599,1339.145264,417.753418,219.070084,38545.72
1341.307983,1137.063477,710.190063,387.764587,1900.377563,1331.751587,1654.308716,320.396912,1350.505981,302.178406,84.703918,301.089081,636.109558,286.294037,56273.60938,1215.42041,922.468689,1346.695923,419.632996,217.182739,38672.91
1351.689941,1137.23645,719.39563,394.370331,1931.516357,1336.744385,1658.493652,327.482758,1366.550537,312.331146,87.881554,302.736389,643.985413,286.493195,56087.42969,1212.792847,946.63739,1360.40625,437.142395,224.824188,38871.87
1382.488037,1141.932617,736.10199,393.137909,1961.303467,1336.344971,1664.106323,337.194733,1394.591309,316.647247,89.867577,308.676788,645.620056,292.019897,59904.10156,1244.373047,929.318115,1406.008057,426.310303,227.678238,39056.65
1379.408203,1135.234375,737.514465,391.856232,2007.842285,1336.894287,1660.659912,354.339386,1391.876099,322.287659,88.675964,307.304016,643.787231,286.791931,60131.91406,1247.198853,924.37677,1393.142212,413.598663,228.829056,38877.12
1364.853638,1134.616577,734.543396,386.877289,2008.566528,1336.644653,1646.234375,346.758057,1362.453003,314.538239,87.285744,303.510162,633.880554,289.13208,59891.52344,1264.699463,929.44043,1389.168213,399.353699,224.547974,38684.72
1344.28833,1129.203613,728.893372,383.032166,1944.88916,1322.165161,1642.443359,353.397919,1351.641357,315.568237,86.888542,305.931244,646.858398,286.692352,59713.625,1276.498779,930.639099,1418.128906,412.807251,219.714539,38862.23
1346.275391,1137.829712,736.686462,385.004059,1980.759033,1332.949829,1634.270508,353.397919,1356.18335,310.957825,87.037491,305.981171,638.140503,293.61322,60142.74609,1274.664429,901.26001,1411.919434,406.921326,219.530411,38700.53
1320.742798,1131.477417,747.304504,381.701172,1998.428345,1340.53894,1639.538696,351.118561,1355.393311,306.83786,86.590637,302.985992,638.487183,289.430817,58906.45313,1271.094849,877.458313,1402.779175,400.293457,218.701828,38939.22
1326.654053,1132.02124,740.193359,391.313965,2016.14624,1340.23938,1652.97937,348.44281,1357.41748,309.143066,90.810936,309.250885,633.979675,290.625793,57604.33984,1262.369385,912.439209,1414.800659,406.377228,220.957443,38585.35
1320.295654,1108.639282,734.640808,388.158997,1973.372559,1348.427734,1665.829468,336.996521,1352.530029,305.268372,90.711632,313.968262,644.480774,287.289825,57570.44531,1270.946167,909.626099,1394.930542,407.16864,217.228775,38607.01
1337.383667,1115.609497,723.925354,384.60968,1949.475586,1340.439087,1681.338257,344.379639,1360.379517,308.70166,93.641022,314.317719,644.183533,286.094849,57357.60547,1267.872314,897.419434,1408.442261,405.932098,220.128845,38767.11
1333.210938,1119.737061,728.503723,388.898468,1944.358154,1343.584717,1694.483643,338.483063,1343.841309,309.290222,94.98159,313.868439,644.480774,285.298218,58436.21484,1277.391113,899.694397,1408.094482,413.252411,220.45108,38905.84
1331.025391,1129.994507,707.852234,387.222382,2037.339722,1369.19812,1695.369873,344.330109,1340.681763,309.633545,95.031235,310.673584,638.388184,291.37265,57940.71094,1288.149292,892.209045,1399.202637,411.224487,219.392319,39275.64
1336.539307,1139.312622,705.124573,401.074615,2058.968018,1383.976929,1711.764771,345.519318,1365.020142,309.78067,95.676697,311.072968,637.694702,290.426605,58043.38281,1282.894165,898.740356,1433.329468,411.372864,220.819336,39140.28
1373.894287,1132.095337,697.867371,399.201355,2071.567871,1374.740234,1710.829224,343.636353,1343.545044,304.974091,95.031235,307.154266,633.632935,297.696014,57643.91406,1242.489136,894.899841,1405.114014,398.117157,220.543137,38645.18
1336.04248,1121.269531,701.958679,389.046326,2089.768799,1358.413452,1713.094116,346.708557,1341.669067,304.091248,91.406746,303.385345,619.813049,290.078064,56537.71094,1222.113281,887.512268,1411.223999,392.379578,217.090683,38564.88
1354.421997,1110.097534,709.021118,390.771698,2083.347412,1357.06543,1714.128052,313.360718,1331.005737,299.824158,90.860588,306.50531,623.627136,287.190247,56567.70313,1199.010498,885.481873,1407.895752,404.99231,216.400192,39054.68
1380.94812,1126.830811,717.349976,395.405548,2110.141602,1368.049805,1725.894775,321.586151,1343.150146,304.777924,90.562683,306.305634,629.373047,291.273071,55738.97656,1211.80127,870.217468,1421.80481,413.450287,217.320847,38730.86
1365.598877,1119.588867,709.897888,389.785797,2116.17627,1363.057007,1705.610596,325.005188,1338.213379,300.461761,89.271774,309.550385,633.533875,285.746338,55438.78516,1200.696045,845.363953,1439.886719,412.41156,217.412903,39067.33
1382.388672,1124.729858,718.031799,401.666168,2161.17041,1376.088379,1717.032715,321.685303,1338.36145,306.347382,87.881554,309.400635,639.378845,292.617401,54302.28125,1210.76001,860.995239,1425.629761,413.499725,220.405029,39031.55
1382.73645,1144.626709,730.549438,402.011261,2177.246582,1385.075562,1727.076416,317.324799,1330.709473,304.287445,86.094131,295.972321,632.047852,306.608459,52834.88672,1224.790283,876.797852,1409.634399,427.596313,221.878082,38981.43
1395.949707,1163.633789,710.969421,389.046326,2138.093994,1405.696045,1701.573364,321.784393,1341.767822,301.589874,89.023521,279.998108,620.655151,305.562866,52514.83203,1218.444458,863.881836,1402.729614,413.944885,219.806625,38963.26
1397.887085,1170.974731,705.027222,396.194305,2059.016113,1416.131348,1666.863403,328.126892,1343.791992,303.257446,88.675964,275.305664,626.054321,307.305542,53217.08203,1194.647583,858.79364,1373.123047,406.674011,215.157303,38600.34
1375.831543,1151.00354,699.279785,395.75061,2080.451172,1409.939941,1646.726807,330.406219,1334.165161,302.81604,87.285744,271.836273,618.079407,296.003143,53673.80078,1177.642944,841.84137,1364.97644,383.9711,215.755737,38276.63
1335.794189,1150.533936,704.832397,380.813843,2076.250977,1404.098389,1669.275879,321.437531,1349.370483,300.020355,85.200424,275.255768,627.936523,287.489014,52960.32422,1167.876343,833.499817,1367.012939,365.225128,219.070084,37789.13
1290.987793,1141.240479,699.523376,376.475769,2078.47168,1401.552124,1659.035156,320.842896,1343.98938,292.41806,85.200424,272.560089,597.225769,288.136292,54025.29688,1154.193359,829.169983,1352.805908,329.711609,216.860519,37558.91
1246.976196,1132.614502,702.397034,376.081421,2093.96875,1387.272339,1673.411499,312.865204,1339.546265,293.546143,84.108101,265.147064,604.804382,283.953888,54236.94141,1150.921143,817.672729,1363.784058,353.799469,218.103394,37462.99
1242.356567,1135.358032,697.526367,379.384216,2061.960938,1393.064087,1661.250732,321.239288,1338.114624,302.178406,85.150772,269.864441,611.838135,285.696533,53776.92969,1156.870361,825.304993,1342.572754,366.313263,217.182739,37090.82
1222.834473,1131.724609,701.422913,370.905304,2057.664307,1387.971436,1675.676392,315.689575,1300.545654,300.903198,82.519287,262.301666,586.13031,275.887848,52930.97266,1142.741089,806.64032,1343.665649,338.367401,214.282669,37318.53
1251.297852,1132.120117,695.38324,375.440521,2022.180664,1382.828735,1668.438965,332.735138,1324.538452,307.916901,83.95916,264.173645,597.324829,279.174042,53171.46094,1130.247803,806.933899,1357.326294,342.225433,214.512848,37114.88
1249.062622,1131.477417,697.964783,371.743317,2022.325562,1394.761719,1645.397461,328.027802,1309.135742,305.660767,81.327675,265.296844,584.099365,267.373718,53441.25,1152.904175,798.787964,1340.933472,319.621429,214.374741,37393.48
1255.818481,1143.786377,715.206848,376.426483,2036.760132,1411.837402,1660.315308,322.527649,1319.996704,309.192139,82.22139,263.300049,573.301086,274.892059,53680.78906,1145.120728,813.196167,1339.840698,341.829712,206.733307,37930.77
1257.45752,1167.440186,705.075867,384.806854,2024.111572,1458.620605,1709.155273,325.25296,1344.680542,312.870667,83.710907,259.980408,575.827332,275.140991,54300.83203,1153.251221,805.759644,1349.974487,368.192841,218.241501,39352.67
1316.868164,1202.686035,703.712097,402.060547,2065.581787,1499.861816,1745.391602,336.79834,1432.703369,338.031769,86.938194,261.927277,570.279602,284.551361,54630.61328,1207.884644,810.040527,1358.866333,359.537048,217.320847,38969.8
1331.025391,1188.276367,690.853638,394.715424,2036.519043,1485.082886,1756.173706,327.82959,1429.889404,331.116119,87.633301,259.006958,569.685181,278.576538,54424.41797,1191.970581,783.303406,1418.476563,344.352295,221.279678,39110.21
1331.969116,1188.918945,690.853638,399.792908,2010.980469,1493.371216,1739.0896,332.041412,1442.083252,334.353241,87.136795,259.381348,564.28595,275.738495,54824.88672,1202.034668,762.828552,1413.807129,339.109344,218.19545,38811.39
1327.101196,1153.944946,683.109253,404.821167,1982.979736,1498.563721,1724.122437,335.361359,1457.041626,335.775574,88.179459,254.938553,557.450317,274.892059,54831.875,1186.963257,759.624023,1374.265625,357.063934,219.300247,39434.72
1328.094604,1172.704834,691.097168,425.426971,1979.020874,1511.694946,1722.39917,350.127563,1524.132568,347.841156,92.995567,266.24527,553.834412,286.44339,57018.53906,1226.079346,747.344055,1410.329956,371.852966,223.074951,39683.29
1302.164429,1190.401978,690.756165,429.074921,1983.027954,1524.377075,1741.452759,346.857178,1572.463623,354.560608,90.463379,274.756561,555.468994,286.592773,56708.66797,1218.543579,738.439697,1359.313354,357.162842,225.468643,39749.73
1317.315186,1194.430786,707.852234,428.384766,2003.497437,1512.194336,1746.326904,342.546234,1553.753296,353.530579,90.562683,270.862823,553.685791,292.368439,56284.54297,1251.759888,746.732483,1364.181519,377.887299,224.363861,39502.05
1304.697876,1194.183594,708.534058,416.948029,2032.705078,1513.192871,1751.102661,335.658661,1532.771973,341.906464,89.073166,271.137421,542.24353,279.373169,55898.64453,1256.122681,739.14917,1350.371826,368.192841,224.31781,39831.97
