RELIANCE.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,TCS.NS,KOTAKBANK.NS,HINDUNILVR.NS,BHARTIARTL.NS,LT.NS,SBIN.NS,ASHOKLEY.NS,BIOCON.NS,GLENMARK.NS,JSWSTEEL.NS,MRF.NS,PIDILITIND.NS,TORNTPHARM.NS,UBL.NS,ZEEL.NS,PETRONET.BO,NSE
1071.287842,981.670837,636.595337,358.818054,1773.325684,1219.196655,1595.207031,270.284058,1193.899292,275.0979,74.698074,320.055084,623.059143,236.63501,60898.23828,1086.140625,865.328369,1396.502319,374.838562,176.591415,10934.35
1099.465454,1003.50238,657.335876,357.396118,1802.591553,1252.664307,1622.723999,272.686951,1212.20752,281.031464,75.021049,321.144867,635.791626,241.651093,60858.32813,1095.582397,850.711853,1396.844604,366.500244,178.196045,11062.45
1119.892944,1008.568115,663.913086,347.785797,1816.7771,1252.61438,1655.901123,277.537292,1221.707397,272.178955,77.097282,330.036682,645.743286,241.95903,60844.91797,1098.566528,841.310242,1414.784058,341.629883,173.068985,11069.40
1156.582397,1015.539856,662.904663,347.687744,1834.945435,1269.073853,1658.937988,272.820465,1205.843384,271.748291,75.943817,323.200653,630.571716,240.683044,59485.39844,1097.001099,860.183411,1406.669678,335.219513,164.38031,10943.60
1157.164551,1019.954529,661.983826,345.824493,1829.844116,1276.006836,1676.285645,274.28891,1203.260864,272.418213,75.805397,321.640259,619.985779,240.727051,59582.46094,1095.141968,853.143921,1387.752441,352.185303,172.325348,10888.80
1173.918823,1024.103516,669.394165,352.345795,1856.917358,1276.356079,1684.108276,274.778412,1212.299683,276.62912,76.174515,314.333618,625.88855,245.78717,59514.62891,1100.719116,847.25531,1370.594971,374.019165,171.77742,10831.40
1156.134399,1021.49823,670.008057,351.708344,1864.166626,1281.393677,1692.483398,276.914368,1195.375,275.050049,80.9729,324.761017,624.327454,240.331009,58992.87891,1138.53479,850.505859,1358.130127,394.021454,174.00827,10793.65
1144.755859,1024.103516,667.289429,348.227081,1844.924683,1296.207153,1672.466431,278.783264,1163.73938,273.710236,80.326965,324.117065,599.496826,231.310928,56054.48047,1125.277222,846.807739,1349.624878,384.430023,176.317444,10746.05
1122.849731,1032.30542,668.955688,343.274811,1848.952026,1298.351807,1660.962646,277.848816,1149.673828,268.446564,76.682022,319.113892,587.984009,230.210907,54956.50391,1101.257202,847.443787,1344.443237,387.225525,175.96521,10724.40
1125.671875,1027.504883,658.125061,337.636108,1836.153809,1295.458984,1651.483643,277.003326,1149.996948,263.565704,74.928772,318.791901,586.764404,239.143036,54966.23438,1111.334717,847.467285,1358.179077,399.75705,174.203964,10640.95
1096.822266,1018.096924,649.004517,337.292908,1829.888428,1283.638062,1642.786743,267.703125,1132.242188,255.62236,77.92775,317.949768,594.374573,246.975067,55906.38281,1089.369385,834.441711,1372.305908,417.831451,170.016174,10604.35
1114.96521,1013.48938,650.670837,335.52774,1816.553223,1280.49585,1631.512939,271.085022,1146.538086,251.650711,73.775299,304.773102,555.494263,234.874954,54752.14453,1072.442749,836.514465,1307.830811,415.807159,167.746185,10735.45
